TOTAL,SNA,MONTH,COUNTY,SSI,ADC,YEAR,PLAN NAME,NYSoH
16353,5299,FEBRUARY,Erie,2524,8458,2016,HealthNow,72
60904,10903,FEBRUARY,Erie,5764,21004,2016,Independent Health Association,23233
50507,8444,FEBRUARY,Erie,4093,16889,2016,NYS Catholic Health Plan,21081
406,45,FEBRUARY,Erie,16,78,2016,United Healthcare Plan of NY,267
2931,280,FEBRUARY,Erie,128,584,2016,Wellcare of New York,1939
38806,10470,FEBRUARY,Erie,4047,15608,2016,YourCare Health Plan,8681
4859,1024,FEBRUARY,Essex,419,1379,2016,NYS Catholic Health Plan,2037
266,30,FEBRUARY,Essex,35,38,2016,United Healthcare Plan of NY,163
7710,1575,FEBRUARY,Franklin,591,2426,2016,NYS Catholic Health Plan,3118
1648,349,FEBRUARY,Fulton,193,467,2016,Capital District Physicians Health Plan,639
8944,1773,FEBRUARY,Fulton,889,2416,2016,NYS Catholic Health Plan,3866
75,7,FEBRUARY,Fulton,11,15,2016,United Healthcare Plan of NY,42
4028,696,FEBRUARY,Genesee,381,1313,2016,MVP Health Plan,1638
3565,567,FEBRUARY,Genesee,207,994,2016,NYS Catholic Health Plan,1797
267,23,FEBRUARY,Genesee,24,43,2016,United Healthcare Plan of NY,177
3903,670,FEBRUARY,Greene,414,1195,2016,Capital District Physicians Health Plan,1624
3787,785,FEBRUARY,Greene,351,1049,2016,NYS Catholic Health Plan,1602
20,0,FEBRUARY,Greene,0,0,2016,United Healthcare Plan of NY,20
589,132,FEBRUARY,Hamilton,19,155,2016,NYS Catholic Health Plan,283
2078,494,FEBRUARY,Herkimer,178,631,2016,Excellus Health Plan,775
9781,2125,FEBRUARY,Herkimer,669,3227,2016,NYS Catholic Health Plan,3760
41,17,FEBRUARY,Herkimer,7,14,2016,United Healthcare Plan of NY,3
555,19,FEBRUARY,Jefferson,16,68,2016,MVP Health Plan,452
1307,143,FEBRUARY,Jefferson,87,169,2016,NYS Catholic Health Plan,908
15891,3780,FEBRUARY,Jefferson,1095,5691,2016,United Healthcare Plan of NY,5325
3107,638,FEBRUARY,Lewis,202,968,2016,NYS Catholic Health Plan,1299
1258,206,FEBRUARY,Lewis,96,357,2016,United Healthcare Plan of NY,599
5111,1196,FEBRUARY,Livingston,477,2131,2016,Excellus Health Plan,1307
1636,266,FEBRUARY,Livingston,169,592,2016,MVP Health Plan,609
1473,247,FEBRUARY,Livingston,57,426,2016,NYS Catholic Health Plan,743
12,1,FEBRUARY,Livingston,0,3,2016,United Healthcare Plan of NY,8
7443,1600,FEBRUARY,Madison,504,2541,2016,NYS Catholic Health Plan,2798
1949,541,FEBRUARY,Madison,147,641,2016,United Healthcare Plan of NY,620
98205,19800,FEBRUARY,Monroe,10553,39745,2016,Excellus Health Plan,28107
20884,2926,FEBRUARY,Monroe,2507,7298,2016,MVP Health Plan,8153
17500,3685,FEBRUARY,Monroe,2231,5842,2016,NYS Catholic Health Plan,5742
3450,554,FEBRUARY,Monroe,283,706,2016,United Healthcare Plan of NY,1907
3560,727,FEBRUARY,Montgomery,387,1320,2016,Capital District Physicians Health Plan,1126
7711,1451,FEBRUARY,Montgomery,666,2539,2016,NYS Catholic Health Plan,3055
19710,4387,FEBRUARY,Nassau,1257,8386,2016,Affinity Health Plan,5680
37576,6891,FEBRUARY,Nassau,2128,12383,2016,HealthFirst PHSP,16174
17828,3521,FEBRUARY,Nassau,1141,5798,2016,HealthPlus,7368
22804,5667,FEBRUARY,Nassau,2618,8053,2016,HIP of Greater New York,6466
40425,7866,FEBRUARY,Nassau,2391,15881,2016,NYS Catholic Health Plan,14287
44587,8427,FEBRUARY,Nassau,2564,13621,2016,United Healthcare Plan of NY,19975
40,0,FEBRUARY,Niagara,0,0,2016,Independent Health Association,40
29412,6289,FEBRUARY,Niagara,2723,10518,2016,NYS Catholic Health Plan,9882
4387,992,FEBRUARY,Niagara,467,1320,2016,United Healthcare Plan of NY,1608
1306,347,FEBRUARY,Niagara,178,628,2016,Wellcare of New York,153
8937,1994,FEBRUARY,Oneida,868,3269,2016,Excellus Health Plan,2806
35937,7162,FEBRUARY,Oneida,3391,15482,2016,NYS Catholic Health Plan,9902
4432,1001,FEBRUARY,Oneida,510,1751,2016,United Healthcare Plan of NY,1170
38217,6303,FEBRUARY,Onondaga,2842,11846,2016,NYS Catholic Health Plan,17226
30417,6167,FEBRUARY,Onondaga,4260,13171,2016,Today's Options,6819
14547,2888,FEBRUARY,Onondaga,1366,4883,2016,United Healthcare Plan of NY,5410
11433,2154,FEBRUARY,Ontario,910,4047,2016,Excellus Health Plan,4322
1351,136,FEBRUARY,Ontario,102,274,2016,MVP Health Plan,839
891,125,FEBRUARY,Ontario,49,139,2016,NYS Catholic Health Plan,578
214,9,FEBRUARY,Ontario,7,9,2016,United Healthcare Plan of NY,189
18310,3084,FEBRUARY,Orange,1252,7201,2016,Affinity Health Plan,6773
88,5,FEBRUARY,Orange,1,13,2016,Hudson Health Plan,69
20496,3600,FEBRUARY,Orange,1519,7074,2016,MVP Health Plan,8303
28832,5600,FEBRUARY,Orange,814,14170,2016,NYS Catholic Health Plan,8248
2015,220,FEBRUARY,Orange,105,339,2016,United Healthcare Plan of NY,1351
1840,417,FEBRUARY,Orange,214,662,2016,Wellcare of New York,547
3231,656,FEBRUARY,Orleans,230,1157,2016,Excellus Health Plan,1188
901,311,FEBRUARY,Orleans,125,461,2016,HealthNow,4
3698,780,FEBRUARY,Orleans,183,1247,2016,NYS Catholic Health Plan,1488
18079,3487,FEBRUARY,Oswego,1438,6633,2016,NYS Catholic Health Plan,6521
6531,1502,FEBRUARY,Oswego,656,2396,2016,United Healthcare Plan of NY,1977
3755,858,FEBRUARY,Otsego,339,1211,2016,Excellus Health Plan,1347
4921,856,FEBRUARY,Otsego,300,1083,2016,NYS Catholic Health Plan,2682
891,45,FEBRUARY,Putnam,52,102,2016,HealthPlus,692
6608,836,FEBRUARY,Putnam,338,1713,2016,NYS Catholic Health Plan,3721
16632,2674,FEBRUARY,Rensselaer,1870,6626,2016,Capital District Physicians Health Plan,5462
575,31,FEBRUARY,Rensselaer,17,79,2016,MVP Health Plan,448
6049,1013,FEBRUARY,Rensselaer,535,2103,2016,NYS Catholic Health Plan,2398
336,25,FEBRUARY,Rensselaer,24,85,2016,United Healthcare Plan of NY,202
981,135,FEBRUARY,Rensselaer,107,273,2016,Wellcare of New York,466
5098,1094,FEBRUARY,Rockland,393,1640,2016,Affinity Health Plan,1971
66,1,FEBRUARY,Rockland,0,5,2016,Hudson Health Plan,60
13572,2313,FEBRUARY,Rockland,574,6017,2016,MVP Health Plan,4668
56134,11978,FEBRUARY,Rockland,1089,27321,2016,NYS Catholic Health Plan,15746
2976,285,FEBRUARY,Rockland,84,241,2016,United Healthcare Plan of NY,2366
1790,296,FEBRUARY,Rockland,111,927,2016,Wellcare of New York,456
13527,3364,FEBRUARY,St Lawrence,1101,4697,2016,NYS Catholic Health Plan,4365
5005,1242,FEBRUARY,St Lawrence,469,1556,2016,United Healthcare Plan of NY,1738
12830,2915,FEBRUARY,Saratoga,1045,3548,2016,Capital District Physicians Health Plan,5322
821,5,FEBRUARY,Saratoga,8,3,2016,MVP Health Plan,805
7586,1841,FEBRUARY,Saratoga,397,1925,2016,NYS Catholic Health Plan,3423
14578,2303,FEBRUARY,Schenectady,1873,5045,2016,Capital District Physicians Health Plan,5357
1070,47,FEBRUARY,Schenectady,41,108,2016,MVP Health Plan,874
15625,2453,FEBRUARY,Schenectady,1399,4648,2016,NYS Catholic Health Plan,7125
48,0,FEBRUARY,Schenectady,1,6,2016,Wellcare of New York,41
2972,637,FEBRUARY,Schoharie,180,957,2016,Capital District Physicians Health Plan,1198
1823,478,FEBRUARY,Schoharie,107,570,2016,NYS Catholic Health Plan,668
2906,596,FEBRUARY,Schuyler,166,907,2016,NYS Catholic Health Plan,1237
4156,902,FEBRUARY,Seneca,422,1488,2016,Excellus Health Plan,1344
589,61,FEBRUARY,Seneca,15,114,2016,NYS Catholic Health Plan,399
186,59,FEBRUARY,Seneca,16,60,2016,United Healthcare Plan of NY,51
16489,3177,FEBRUARY,Steuben,1445,4877,2016,NYS Catholic Health Plan,6990
7,0,FEBRUARY,Steuben,0,3,2016,Wellcare of New York,4
27300,4581,FEBRUARY,Suffolk,1326,9019,2016,Affinity Health Plan,12374
61477,8781,FEBRUARY,Suffolk,3392,23185,2016,HealthFirst PHSP,26119
24140,5966,FEBRUARY,Suffolk,2099,6891,2016,HIP of Greater New York,9184
46243,8132,FEBRUARY,Suffolk,2552,14094,2016,NYS Catholic Health Plan,21465
56902,10779,FEBRUARY,Suffolk,2819,14021,2016,United Healthcare Plan of NY,29283
44,0,FEBRUARY,Sullivan,0,0,2016,Hudson Health Plan,44
11878,2224,FEBRUARY,Sullivan,944,4206,2016,MVP Health Plan,4504
5864,1065,FEBRUARY,Sullivan,314,1858,2016,NYS Catholic Health Plan,2627
1682,437,FEBRUARY,Tioga,123,613,2016,Capital District Physicians Health Plan,509
5231,861,FEBRUARY,Tioga,326,1599,2016,NYS Catholic Health Plan,2445
638,68,FEBRUARY,Tioga,37,90,2016,United Healthcare Plan of NY,443
5215,870,FEBRUARY,Tompkins,290,1183,2016,NYS Catholic Health Plan,2872
5299,1292,FEBRUARY,Tompkins,485,2233,2016,Today's Options,1289
60,0,FEBRUARY,Ulster,0,3,2016,Hudson Health Plan,57
14406,3047,FEBRUARY,Ulster,1170,4561,2016,MVP Health Plan,5628
10234,1421,FEBRUARY,Ulster,628,3064,2016,NYS Catholic Health Plan,5121
1254,136,FEBRUARY,Ulster,53,171,2016,United Healthcare Plan of NY,894
2875,632,FEBRUARY,Ulster,395,1120,2016,Wellcare of New York,728
598,30,FEBRUARY,Warren,16,33,2016,MVP Health Plan,519
7774,1614,FEBRUARY,Warren,555,2386,2016,NYS Catholic Health Plan,3219
818,158,FEBRUARY,Warren,81,176,2016,United Healthcare Plan of NY,403
4073,644,FEBRUARY,Washington,347,1091,2016,Capital District Physicians Health Plan,1991
6728,1135,FEBRUARY,Washington,485,1980,2016,NYS Catholic Health Plan,3128
12021,2189,FEBRUARY,Wayne,1046,3689,2016,Excellus Health Plan,5097
2179,308,FEBRUARY,Wayne,183,476,2016,NYS Catholic Health Plan,1212
293,22,FEBRUARY,Wayne,14,34,2016,United Healthcare Plan of NY,223
19770,4013,FEBRUARY,Westchester,1479,6168,2016,Affinity Health Plan,8110
11133,2355,FEBRUARY,Westchester,1165,3017,2016,HIP of Greater New York,4596
369,35,FEBRUARY,Westchester,16,134,2016,Hudson Health Plan,184
66137,12010,FEBRUARY,Westchester,4009,28268,2016,MVP Health Plan,21850
36447,6522,FEBRUARY,Westchester,1988,8845,2016,NYS Catholic Health Plan,19092
7417,677,FEBRUARY,Westchester,336,644,2016,United Healthcare Plan of NY,5760
1227,458,FEBRUARY,Wyoming,76,688,2016,HealthNow,5
3583,412,FEBRUARY,Wyoming,88,642,2016,NYS Catholic Health Plan,2441
36,1,FEBRUARY,Wyoming,0,3,2016,United Healthcare Plan of NY,32
3346,657,FEBRUARY,Yates,236,982,2016,Excellus Health Plan,1471
472,35,FEBRUARY,Yates,16,75,2016,NYS Catholic Health Plan,346
21204,3196,MARCH,Albany,2715,15293,2013,Capital District Physicians Health Plan,
8210,1637,MARCH,Albany,774,5799,2013,NYS Catholic Health Plan,
1684,317,MARCH,Albany,258,1109,2013,Wellcare of New York,
2898,452,MARCH,Allegany,382,2064,2013,HealthNow/BCBS-WNY/Community Blue,
341,69,MARCH,Allegany,26,246,2013,NYS Catholic Health Plan,
1916,249,MARCH,Allegany,176,1491,2013,Univera Community Health,
279,24,MARCH,Broome,72,183,2013,Capital District Physicians Health Plan,
21231,3429,MARCH,Broome,2946,14856,2013,Excellus Health Plan,
4013,560,MARCH,Broome,788,2665,2013,NYS Catholic Health Plan,
363,93,MARCH,Broome,88,182,2013,United Healthcare Plan of NY,
4241,504,MARCH,Cattaraugus,774,2963,2013,HealthNow/BCBS-WNY/Community Blue,
3211,391,MARCH,Cattaraugus,346,2474,2013,NYS Catholic Health Plan,
1936,303,MARCH,Cattaraugus,215,1418,2013,Univera Community Health,
2985,474,MARCH,Cayuga,254,2257,2013,Excellus Health Plan,
4724,677,MARCH,Cayuga,450,3597,2013,NYS Catholic Health Plan,
1095,162,MARCH,Cayuga,152,781,2013,United Healthcare Plan of NY,
4145,658,MARCH,Chautauqua,679,2808,2013,HealthNow/BCBS-WNY/Community Blue,
15890,2438,MARCH,Chautauqua,1879,11573,2013,NYS Catholic Health Plan,
1085,325,MARCH,Chautauqua,187,573,2013,Univera Community Health,
5568,613,MARCH,Chemung,724,4231,2013,Excellus Health Plan,
5288,729,MARCH,Chemung,808,3751,2013,NYS Catholic Health Plan,
5185,703,MARCH,Chenango,362,4120,2013,NYS Catholic Health Plan,
973,169,MARCH,Chenango,103,701,2013,United Healthcare Plan of NY,
8395,1310,MARCH,Clinton,856,6229,2013,NYS Catholic Health Plan,
948,225,MARCH,Clinton,119,604,2013,United Healthcare Plan of NY,
3325,515,MARCH,Columbia,508,2302,2013,Capital District Physicians Health Plan,
2750,452,MARCH,Columbia,229,2069,2013,NYS Catholic Health Plan,
4737,628,MARCH,Cortland,455,3654,2013,NYS Catholic Health Plan,
1568,208,MARCH,Cortland,167,1193,2013,SCHC Total Care,
4742,877,MARCH,Delaware,158,3707,2013,NYS Catholic Health Plan,
7647,1112,MARCH,Dutchess,940,5595,2013,Hudson Health Plan,
6826,1111,MARCH,Dutchess,842,4873,2013,MVP Health Plan,
5220,1006,MARCH,Dutchess,609,3605,2013,NYS Catholic Health Plan,
2086,207,MARCH,Dutchess,267,1612,2013,Wellcare of New York,
22426,4005,MARCH,Erie,2984,15437,2013,HealthNow/BCBS-WNY/Community Blue,
36843,5839,MARCH,Erie,5606,25398,2013,Independent Health Association,
27130,4047,MARCH,Erie,3567,19516,2013,NYS Catholic Health Plan,
34373,6205,MARCH,Erie,3780,24388,2013,Univera Community Health,
3291,508,MARCH,Essex,241,2542,2013,NYS Catholic Health Plan,
4852,867,MARCH,Franklin Mandatory,161,3824,2013,NYS Catholic Health Plan,
1304,193,MARCH,Fulton,210,901,2013,Capital District Physicians Health Plan,
6865,1040,MARCH,Fulton,770,5055,2013,NYS Catholic Health Plan,
2474,297,MARCH,Genesee,213,1964,2013,HealthNow/BCBS-WNY/Community Blue,
1938,244,MARCH,Genesee,285,1409,2013,MVP Health Plan,
788,139,MARCH,Genesee,64,585,2013,NYS Catholic Health Plan,
2785,404,MARCH,Greene,442,1939,2013,Capital District Physicians Health Plan,
2819,559,MARCH,Greene,306,1954,2013,NYS Catholic Health Plan,
352,55,MARCH,Hamilton,5,292,2013,NYS Catholic Health Plan,
1553,256,MARCH,Herkimer,196,1101,2013,Excellus Health Plan,
6657,1015,MARCH,Herkimer,601,5041,2013,NYS Catholic Health Plan,
62,7,MARCH,Herkimer,9,46,2013,United Healthcare Plan of NY,
7570,1023,MARCH,Jefferson,376,6171,2013,Excellus Health Plan,
1986,365,MARCH,Jefferson,127,1494,2013,United Healthcare Plan of NY,
1441,154,MARCH,Lewis,82,1205,2013,Excellus Health Plan,
683,97,MARCH,Lewis,55,531,2013,NYS Catholic Health Plan,
3948,545,MARCH,Livingston,435,2968,2013,Excellus Health Plan,
1131,160,MARCH,Livingston,186,785,2013,MVP Health Plan,
732,187,MARCH,Livingston,29,516,2013,NYS Catholic Health Plan,
3676,519,MARCH,Madison,338,2819,2013,Excellus Health Plan,
2442,351,MARCH,Madison,215,1876,2013,NYS Catholic Health Plan,
769,136,MARCH,Madison,73,560,2013,United Healthcare Plan of NY,
70073,9784,MARCH,Monroe,9364,50925,2013,Excellus Health Plan,
13587,1408,MARCH,Monroe,2379,9800,2013,MVP Health Plan,
17440,4893,MARCH,Monroe,2410,10137,2013,NYS Catholic Health Plan,
3251,362,MARCH,Montgomery,399,2490,2013,Capital District Physicians Health Plan,
5355,750,MARCH,Montgomery,549,4056,2013,NYS Catholic Health Plan,
13856,2285,MARCH,Nassau,1228,10343,2013,Affinity Health Plan,
9453,2299,MARCH,Nassau,934,6220,2013,Amerigroup,
20034,3686,MARCH,Nassau,1568,14780,2013,HealthFirst PHSP,
17265,4066,MARCH,Nassau,2587,10612,2013,HIP of Greater New York,
21347,3680,MARCH,Nassau,1767,15900,2013,NYS Catholic Health Plan,
23067,4654,MARCH,Nassau,2134,16279,2013,United Healthcare Plan of NY,
8956,1618,MARCH,Niagara,994,6344,2013,HealthNow/BCBS-WNY/Community Blue,
7497,1241,MARCH,Niagara,1420,4836,2013,Independent Health Association,
9610,1662,MARCH,Niagara,873,7075,2013,NYS Catholic Health Plan,
6870,1130,MARCH,Oneida,920,4820,2013,Excellus Health Plan,
25074,3021,MARCH,Oneida,3239,18814,2013,NYS Catholic Health Plan,
4031,674,MARCH,Oneida,563,2794,2013,United Healthcare Plan of NY,
10209,1358,MARCH,Onondaga,1198,7653,2013,Excellus Health Plan,
16535,2168,MARCH,Onondaga,1930,12437,2013,NYS Catholic Health Plan,
24196,3298,MARCH,Onondaga,4003,16895,2013,SCHC Total Care,
7146,1047,MARCH,Onondaga,969,5130,2013,United Healthcare Plan of NY,
8094,988,MARCH,Ontario,894,6212,2013,Excellus Health Plan,
619,67,MARCH,Ontario,110,442,2013,MVP Health Plan,
248,60,MARCH,Ontario,25,163,2013,NYS Catholic Health Plan,
14793,1805,MARCH,Orange,1474,11514,2013,Affinity Health Plan,
12771,1759,MARCH,Orange,1430,9582,2013,Hudson Health Plan,
18263,858,MARCH,Orange,696,16709,2013,NYS Catholic Health Plan,
275,85,MARCH,Orange,25,165,2013,United Healthcare Plan of NY,
1640,259,MARCH,Orange,236,1145,2013,Wellcare of New York,
1996,270,MARCH,Orleans,207,1519,2013,Excellus Health Plan,
1130,212,MARCH,Orleans,131,787,2013,HealthNow/BCBS-WNY/Community Blue,
2164,418,MARCH,Orleans,153,1593,2013,NYS Catholic Health Plan,
3672,546,MARCH,Oswego,471,2655,2013,Excellus Health Plan,
10172,1341,MARCH,Oswego,1011,7820,2013,NYS Catholic Health Plan,
5052,699,MARCH,Oswego,569,3784,2013,United Healthcare Plan of NY,
3234,418,MARCH,Otsego,377,2439,2013,Excellus Health Plan,
2474,441,MARCH,Otsego,247,1786,2013,NYS Catholic Health Plan,
113,21,MARCH,Putnam,43,49,2013,Amerigroup,
2885,416,MARCH,Putnam,324,2145,2013,NYS Catholic Health Plan,
13049,2065,MARCH,Rensselaer,1782,9202,2013,Capital District Physicians Health Plan,
4361,757,MARCH,Rensselaer,508,3096,2013,NYS Catholic Health Plan,
799,127,MARCH,Rensselaer,119,553,2013,Wellcare of New York,
5055,1012,MARCH,Rockland,560,3483,2013,Affinity Health Plan,
9594,1064,MARCH,Rockland,574,7956,2013,Hudson Health Plan,
37862,2237,MARCH,Rockland,1057,34568,2013,NYS Catholic Health Plan,
448,141,MARCH,Rockland,33,274,2013,United Healthcare Plan of NY,
2648,196,MARCH,Rockland,128,2324,2013,Wellcare of New York,
7149,1013,MARCH,St Lawrence,481,5655,2013,Excellus Health Plan,
1736,298,MARCH,St Lawrence,137,1301,2013,NYS Catholic Health Plan,
9029,1401,MARCH,Saratoga,1091,6537,2013,Capital District Physicians Health Plan,
4891,750,MARCH,Saratoga,332,3809,2013,NYS Catholic Health Plan,
11015,1328,MARCH,Schenectady,1852,7835,2013,Capital District Physicians Health Plan,
10093,1568,MARCH,Schenectady,1176,7349,2013,NYS Catholic Health Plan,
1753,293,MARCH,Schoharie,171,1289,2013,Capital District Physicians Health Plan,
1330,211,MARCH,Schoharie,107,1012,2013,NYS Catholic Health Plan,
1259,220,MARCH,Schuyler,61,978,2013,Excellus Health Plan,
784,155,MARCH,Schuyler,45,584,2013,NYS Catholic Health Plan,
3546,418,MARCH,Seneca,411,2717,2013,Excellus Health Plan,
5060,760,MARCH,Steuben,468,3832,2013,Excellus Health Plan,
4704,619,MARCH,Steuben,516,3569,2013,NYS Catholic Health Plan,
17845,2599,MARCH,Suffolk,1407,13839,2013,Affinity Health Plan,
18330,2616,MARCH,Suffolk,1551,14163,2013,HealthFirst PHSP,
17607,4214,MARCH,Suffolk,2218,11175,2013,HIP of Greater New York,
22154,2503,MARCH,Suffolk,2005,17646,2013,Neighborhood Health Providers,
23936,4161,MARCH,Suffolk,2085,17690,2013,NYS Catholic Health Plan,
28667,6014,MARCH,Suffolk,2485,20168,2013,United Healthcare Plan of NY,
8702,1022,MARCH,Sullivan,995,6685,2013,Hudson Health Plan,
3114,395,MARCH,Sullivan,291,2428,2013,NYS Catholic Health Plan,
1555,177,MARCH,Tioga,86,1292,2013,Capital District Physicians Health Plan,
2996,359,MARCH,Tioga,180,2457,2013,NYS Catholic Health Plan,
310,59,MARCH,Tioga,27,224,2013,United Healthcare Plan of NY,
425,96,MARCH,Tompkins,20,309,2013,Excellus Health Plan,
2001,445,MARCH,Tompkins,236,1320,2013,NYS Catholic Health Plan,
5021,698,MARCH,Tompkins,568,3755,2013,SCHC Total Care,
5455,996,MARCH,Ulster,576,3883,2013,Hudson Health Plan,
5828,1369,MARCH,Ulster,687,3772,2013,MVP Health Plan,
4675,668,MARCH,Ulster,422,3585,2013,NYS Catholic Health Plan,
2473,285,MARCH,Ulster,412,1776,2013,Wellcare of New York,
3861,414,MARCH,Warren,324,3123,2013,NYS Catholic Health Plan,
479,92,MARCH,Warren,41,346,2013,United Healthcare Plan of NY,
2521,301,MARCH,Washington,352,1868,2013,Capital District Physicians Health Plan,
4081,436,MARCH,Washington,419,3226,2013,NYS Catholic Health Plan,
7833,846,MARCH,Wayne,994,5993,2013,Excellus Health Plan,
1320,168,MARCH,Wayne,150,1002,2013,NYS Catholic Health Plan,
14363,2762,MARCH,Westchester,1499,10102,2013,Affinity Health Plan,
8014,1794,MARCH,Westchester,1147,5073,2013,HIP of Greater New York,
47344,6090,MARCH,Westchester,3823,37431,2013,Hudson Health Plan,
18636,4255,MARCH,Westchester,1545,12836,2013,NYS Catholic Health Plan,
1194,376,MARCH,Westchester,126,692,2013,United Healthcare Plan of NY,
1516,221,MARCH,Wyoming,75,1220,2013,HealthNow/BCBS-WNY/Community Blue,
746,121,MARCH,Wyoming,48,577,2013,NYS Catholic Health Plan,
2517,294,MARCH,Yates,246,1977,2013,Excellus Health Plan,
21856,3610,MARCH,Albany,2750,15496,2014,Capital District Physicians Health Plan,
8390,1802,MARCH,Albany,750,5838,2014,NYS Catholic Health Plan,
186,59,MARCH,Albany,16,111,2014,United Healthcare Plan of NY,
1828,411,MARCH,Albany,249,1168,2014,Wellcare of New York,
3124,536,MARCH,Allegany,392,2196,2014,HealthNow,
509,110,MARCH,Allegany,44,355,2014,NYS Catholic Health Plan,
1883,299,MARCH,Allegany,179,1405,2014,Univera Community Health,
271,20,MARCH,Broome,68,183,2014,Capital District Physicians Health Plan,
21812,3679,MARCH,Broome,3095,15038,2014,Excellus Health Plan,
4403,701,MARCH,Broome,792,2910,2014,NYS Catholic Health Plan,
545,141,MARCH,Broome,111,293,2014,United Healthcare Plan of NY,
4647,710,MARCH,Cattaraugus,753,3184,2014,HealthNow,
3359,497,MARCH,Cattaraugus,362,2500,2014,NYS Catholic Health Plan,
1987,375,MARCH,Cattaraugus,223,1389,2014,Univera Community Health,
2508,407,MARCH,Cayuga,233,1868,2014,Excellus Health Plan,
5415,899,MARCH,Cayuga,516,4000,2014,NYS Catholic Health Plan,
1286,241,MARCH,Cayuga,152,893,2014,United Healthcare Plan of NY,
4143,703,MARCH,Chautauqua,680,2760,2014,HealthNow,
16486,2692,MARCH,Chautauqua,1965,11829,2014,NYS Catholic Health Plan,
4,1,MARCH,Chautauqua,1,2,2014,United Healthcare Plan of NY,
1055,316,MARCH,Chautauqua,197,542,2014,Univera Community Health,
1,0,MARCH,Chemung,0,1,2014,Excellus Health Plan,
10592,1487,MARCH,Chemung,1448,7657,2014,NYS Catholic Health Plan,
2171,424,MARCH,Chemung,321,1426,2014,United Healthcare Plan of NY,
5617,836,MARCH,Chenango,504,4277,2014,NYS Catholic Health Plan,
967,192,MARCH,Chenango,136,639,2014,United Healthcare Plan of NY,
8883,1488,MARCH,Clinton,1066,6329,2014,NYS Catholic Health Plan,
891,218,MARCH,Clinton,148,525,2014,United Healthcare Plan of NY,
3768,664,MARCH,Columbia,535,2569,2014,Capital District Physicians Health Plan,
3091,561,MARCH,Columbia,258,2272,2014,NYS Catholic Health Plan,
24,11,MARCH,Columbia,0,13,2014,United Healthcare Plan of NY,
5065,828,MARCH,Cortland,467,3770,2014,NYS Catholic Health Plan,
1572,241,MARCH,Cortland,174,1157,2014,Today's Options,
4820,995,MARCH,Delaware,214,3611,2014,NYS Catholic Health Plan,
14527,2356,MARCH,Dutchess,1761,10410,2014,Hudson Health Plan,
1,0,MARCH,Dutchess,0,1,2014,MVP Health Plan,
6502,1354,MARCH,Dutchess,725,4423,2014,NYS Catholic Health Plan,
2628,420,MARCH,Dutchess,307,1901,2014,Wellcare of New York,
23521,4541,MARCH,Erie,3121,15859,2014,HealthNow,
37931,6610,MARCH,Erie,5465,25856,2014,Independent Health Association,
32139,6060,MARCH,Erie,3852,22227,2014,NYS Catholic Health Plan,
34001,6405,MARCH,Erie,3847,23749,2014,Univera Community Health,
3385,601,MARCH,Essex,335,2449,2014,NYS Catholic Health Plan,
56,16,MARCH,Essex,6,34,2014,United Healthcare Plan of NY,
5114,987,MARCH,Franklin,219,3908,2014,NYS Catholic Health Plan,
1312,204,MARCH,Fulton,218,890,2014,Capital District Physicians Health Plan,
7087,1191,MARCH,Fulton,801,5095,2014,NYS Catholic Health Plan,
26,13,MARCH,Fulton,4,9,2014,United Healthcare Plan of NY,
3287,466,MARCH,Genesee,433,2388,2014,MVP Health Plan,
2159,371,MARCH,Genesee,184,1604,2014,NYS Catholic Health Plan,
50,12,MARCH,Genesee,5,33,2014,United Healthcare Plan of NY,
3033,486,MARCH,Greene,452,2095,2014,Capital District Physicians Health Plan,
2988,606,MARCH,Greene,326,2056,2014,NYS Catholic Health Plan,
371,85,MARCH,Hamilton,8,278,2014,NYS Catholic Health Plan,
1560,287,MARCH,Herkimer,210,1063,2014,Excellus Health Plan,
6926,1097,MARCH,Herkimer,633,5196,2014,NYS Catholic Health Plan,
50,8,MARCH,Herkimer,12,30,2014,United Healthcare Plan of NY,
50,8,MARCH,Jefferson,3,39,2014,Excellus Health Plan,
12552,2030,MARCH,Jefferson,906,9616,2014,United Healthcare Plan of NY,
2142,270,MARCH,Lewis,216,1656,2014,NYS Catholic Health Plan,
843,138,MARCH,Lewis,101,604,2014,United Healthcare Plan of NY,
4375,764,MARCH,Livingston,470,3141,2014,Excellus Health Plan,
1129,163,MARCH,Livingston,178,788,2014,MVP Health Plan,
786,209,MARCH,Livingston,46,531,2014,NYS Catholic Health Plan,
2955,471,MARCH,Madison,274,2210,2014,Excellus Health Plan,
3469,562,MARCH,Madison,311,2596,2014,NYS Catholic Health Plan,
1001,209,MARCH,Madison,96,696,2014,United Healthcare Plan of NY,
74552,11426,MARCH,Monroe,9754,53372,2014,Excellus Health Plan,
13744,1705,MARCH,Monroe,2348,9691,2014,MVP Health Plan,
17426,4516,MARCH,Monroe,2348,10562,2014,NYS Catholic Health Plan,
1453,448,MARCH,Monroe,106,899,2014,United Healthcare Plan of NY,
3309,429,MARCH,Montgomery,395,2485,2014,Capital District Physicians Health Plan,
5599,835,MARCH,Montgomery,586,4178,2014,NYS Catholic Health Plan,
16599,3412,MARCH,Nassau,1263,11924,2014,Affinity Health Plan,
11738,3093,MARCH,Nassau,992,7653,2014,Amerigroup,
23411,5004,MARCH,Nassau,1708,16699,2014,HealthFirst PHSP,
